"","X","text","favoriteCount","created","id","retweetCount","subject","url","source","categories"
"11565",11565,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Emory and Henry College alumni"
"11566",11566,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Living people"
"11567",11567,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Members of the United States House of Representatives from Virginia"
"11568",11568,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Members of the Virginia House of Delegates"
"11569",11569,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Politicians from Roanoke, Virginia"
"11570",11570,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Republican Party members of the United States House of Representatives"
"11571",11571,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Virginia Republicans"
"11572",11572,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Virginia lawyers"
"11573",11573,"Morgan Griffith Wikipedia article edited anonymously from US House of Representatives http://t.co/LZ3uRvgq6n",2,"2014-11-10 14:58:08",531823125176922112,6,"Morgan Griffith","http://t.co/LZ3uRvgq6n","US House of Representatives","Washington and Lee University School of Law alumni"
"11574",11574,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","1833 establishments in Alabama"
"11575",11575,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","1841 disestablishments in Alabama"
"11576",11576,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","1843 establishments in Alabama"
"11577",11577,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","1861 disestablishments in Alabama"
"11578",11578,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","1868 establishments in Alabama"
"11579",11579,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","1963 disestablishments in Alabama"
"11580",11580,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","1965 establishments in Alabama"
